Local A,Local B,Meio de transporte,Distância,Informação extra,Ponto cardeal,Ordem A,Ordem B
EX-A2 - Saída 15,EX-A2 - Saída 20,Carro,4.6,EX-A2,S,2,1
EX-A2 - Saída 20,EX-A2 - Saída 23,Carro,3.1,EX-A2,SE,2,1
EX-A2 - Saída 23,Villanueva de la Serena,Carro,5.0,,SE,3,1
Faro - Avenida Calouste Gulbenkian,Forum Algarve,Carro,1.7,,NO,1,1
Faro - Avenida Calouste Gulbenkian,Variante de Faro - Nó com a N2,Carro,2.7,N2,N,2,3
Faro - Avenida Calouste Gulbenkian,Universidade do Algarve - Campus da Penha,Carro,1.8,,E,3,1
Faro - Avenida Calouste Gulbenkian,Faro - Sé,Carro,1.6,,SE,4,1
Faro - Avenida Calouste Gulbenkian,Faro - São Pedro,Carro,1.3,,S,5,1
Faro - São Pedro,Faro - Sé,Carro,1.6,,E,2,2
Faro - São Pedro,Olhão,Barco,14.0,Costa de Portugal Continental,NE,7,9
Faro - São Pedro,Porto de Faro,Barco,1.8,Ria Formosa,SE,4,3
Faro - São Pedro,Praia de Faro,Barco,5.0,Ria Formosa,SO,5,2
Faro - São Pedro,Quarteira,Barco,34.1,Costa de Portugal Continental,NO,6,5
Faro - Sé,Universidade do Algarve - Campus da Penha,Carro,1.4,,N,4,2
Faro - Sé,Variante de Faro - Nó com a M518,Carro,1.9,,NE,5,4
Ferragudo,Marina de Portimão,Barco,0.8,Rio Arade,SO,3,5
Ferragudo,Parchal,Carro,2.8,,N,2,2
Ferragudo,Porto Comercial de Portimão,Barco,0.7,Rio Arade,NO,4,3
Ferreira do Alentejo,"Odivelas, Ferreira do Alentejo",Carro,13.3,N2,N,5,1
Ferreiras,Paderne,Carro,7.6,,NE,1,6
Fóia,Monchique,Carro,7.8,,E,1,3
Fonte Benémola,Querença,Carro,2.4,,SE,1,4
Fonte Zambujo,Fonte Zambujo de Cima,Carro,0.9,,N,1,2
Fonte Zambujo,Fonte Zambujo de Baixo,Carro,1.2,,SO,2,1
Fonte Zambujo de Cima,Pereiro,Carro,3.4,,NO,1,3
Formoa,Pomarão,Carro,2.0,,NE,1,3
Forum Algarve,Variante de Faro - Nó com o IC4,Carro,1.9,IC4,N,2,3
Fronteira Espanha-Gibraltar - Lado de Gibraltar,Fronteira Espanha-Gibraltar - Lado espanhol,Carro,0.1,,N,1,4
Fronteira Espanha-Gibraltar - Lado de Gibraltar,Pista do Aeroporto de Gibraltar,Carro,0.4,,S,4,1
Fronteira Espanha-Gibraltar - Lado de Gibraltar,Western Beach,Carro,0.5,,SO,3,1
Fronteira Espanha-Gibraltar - Lado espanhol,La Línea de la Concepción - Centro da cidade,Carro,3.0,,N,2,4
Fronteira Espanha-Gibraltar - Lado espanhol,"Paseo del Mediterráneo, La Línea de la Concepción",Carro,3.1,,NE,3,1
Furnazinhas,Vaqueiros,Carro,17.6,,NO,2,1
Fuseta,Praia do Barril,Barco,8.6,Ria Formosa,NE,3,2
Fuseta,Ilha da Armona,Barco,10.9,Ria Formosa,SO,4,1
Fuseta,Olhão,Barco,13.9,Costa de Portugal Continental,SO,5,10
Fuseta,Praia da Fuseta,Barco,1.3,Ria Formosa,S,7,1
Fuseta,Quatro Águas,Barco,15.4,Costa de Portugal Continental,NE,6,4
Gelves,San Juan de Aznalfarache,Carro,3.0,,N,1,2
Gelves,SE-40 - Reinício,Carro,4.0,,S,2,2
Gibraleón,San Bartolomé de la Torre,Carro,15.3,,NO,1,3
Giões,São Bartolomeu de Via Glória,Carro,7.0,,NO,3,2
Giões,Serro da Vinha de Baixo,Carro,9.1,,E,2,2
Grândola,Pinhal Novo,Comboio,69.5,Linha do Sul - Intercidades,NO,2,1
Grândola,Pinhal Novo,Comboio de Alta Velocidade,69.5,Linha do Sul,NO,4,2
Guerreiros do Rio,Laranjeiras,Carro,1.2,,NO,1,1
Guerreiros do Rio,Rotunda da Árvore,Carro,0.7,,S,2,1
Guia,Marina de Albufeira,Carro,7.7,,SE,5,2
Guia,Praia da Galé,Carro,6.5,,SO,3,3
Guia,Zoomarine,Carro,1.6,N125,O,4,1
Hangares,Ilha do Farol,Barco,1.5,Ria Formosa,SO,2,1
Hortas,Vila Real de Santo António,Carro,2.4,N125,E,2,3
IC1 - Cruzamento com a N124,São Bartolomeu de Messines,Carro,2.0,N124,NO,4,1
IC1 - Cruzamento com a N124,São Marcos da Serra,Carro,16.7,IC1,NO,3,1
IC1 - Cruzamento com a N124,Tunes,Carro,10.9,IC1,S,2,5
IC1 - Cruzamento com a N263,Messejana,Carro,9.5,,NE,3,1
IC1 - Cruzamento com a N263,Mimosa,Carro,20.6,IC1,N,4,2
IC1 - Cruzamento com a N263,Ourique,Carro,21.6,IC1,SE,2,5
IC27 - Fim,IC27 - Saída 7,Carro,6.1,IC27,S,2,1
IC27 - Fim,Parque Empresarial de Alcoutim,Carro,7.7,N122,SE,4,5
IC27 - Início,IC27 - Saída 1,Carro,1.1,IC27,NO,1,2
IC27 - Início,Monte Francisco,Carro,0.5,,O,3,2
IC27 - Início,Norte do Sapal de Castro Marim e Vila Real de Santo António,Carro,2.0,,E,4,1
IC27 - Saída 1,IC27 - Saída 2,Carro,8.1,IC27,NO,1,2
IC27 - Saída 1,Junqueira,Carro,2.4,N122,NO,3,2
IC27 - Saída 1,Monte Francisco,Carro,0.9,,S,5,1
IC27 - Saída 1,Quinta do Vale Golf Resort,Carro,1.1,,NE,6,1
IC27 - Saída 2,IC27 - Saída 3,Carro,2.6,IC27,N,1,2
IC27 - Saída 2,Piçarral,Carro,1.0,,NE,4,1
IC27 - Saída 2,Sentinela,Carro,1.2,,O,5,1
IC27 - Saída 3,IC27 - Saída 4,Carro,2.7,IC27,N,1,2
IC27 - Saída 3,Portela Alta de Cima,Carro,2.5,,SO,4,1
IC27 - Saída 4,IC27 - Saída 5,Carro,3.3,IC27,NO,1,2
IC27 - Saída 4,Odeleite,Carro,0.7,,E,3,2
IC27 - Saída 4,Montinho de Odeleite,Carro,4.1,,NO,4,1
IC27 - Saída 5,IC27 - Saída 6,Carro,5.1,IC27,N,1,2
IC27 - Saída 5,Tenência,Carro,3.3,,NE,3,1
IC27 - Saída 5,Vale do Pereiro,Carro,1.9,,O,4,2
IC27 - Saída 6,IC27 - Saída 7,Carro,3.7,IC27,N,1,2
IC27 - Saída 6,Palmeira,Carro,0.7,,SO,4,1
IC27 - Saída 7,Parque Empresarial de Alcoutim,Carro,3.0,N124,E,3,3
IC27 - Saída 7,Tacões,Carro,3.5,N124,NO,5,2
Ilha da Armona,Olhão,Barco,2.9,Ria Formosa,NO,3,7
Ilha do Farol,Porto de Faro,Barco,6.0,Ria Formosa,NO,2,2
Ilha do Farol,Praia da Barreta,Barco,1.4,Ria Formosa,SO,3,1
IP2 - Saída 38,IP2 - Saída 39,Carro,4.0,IP2,SO,1,1
IP2 - Saída 39,IP2 - Saída 40,Carro,2.7,IP2,S,2,1
IP2 - Saída 39,Vidigueira,Carro,1.4,,S,3,2
IP2 - Saída 40,IP2 - Saída 41,Carro,5.7,IP2,SO,2,1
IP2 - Saída 40,Vidigueira,Carro,1.5,,N,3,1
IP2 - Saída 41,São Matias,Carro,6.3,IP2,SO,2,1
IP2 - Saída 42,IP2 - Saída 43,Carro,4.9,IP2,S,2,1
IP2 - Saída 42,Santa Clara de Louredo,Carro,0.3,,E,3,1
IP2 - Saída 43,IP2 - Saída 44,Carro,2.2,IP2,S,2,1
IP2 - Saída 44,IP2 - Saída 45,Carro,2.9,IP2,SO,2,1
IP2 - Saída 45,IP2 - Saída 46,Carro,6.0,IP2,SO,2,1
IP2 - Saída 45,Trindade,Carro,1.1,,S,3,1
IP2 - Saída 46,IP2 - Saída 47,Carro,3.3,IP2,S,2,1
IP2 - Saída 48,IP2 - Saída 49,Carro,2.2,IP2,SO,2,1
IP2 - Saída 49,IP2 - Saída 50,Carro,3.9,IP2,SO,2,1
IP8 - Início,Praia de São Torpes,Carro,3.2,N120-1,SE,1,3
Isla Cristina,Punta del Moral,Barco,1.6,Marismas de Isla Cristina,SO,2,4
Junqueira,Montes Castelhanos,Carro,0.6,N122,N,1,3
La Línea de la Concepción - Centro da cidade,"Paseo del Mediterráneo, La Línea de la Concepción",Carro,1.5,,E,5,2
Lagoa,Porches,Carro,5.2,N125,SE,2,6
Lagoa,Slide & Splash,Carro,2.3,,NO,5,1
Lagos,N125 - Acesso à Saída 1 da A22,Carro,4.1,,NO,4,1
Lagos,Praia Dona Ana,Carro,2.4,,S,3,1
Laranjeiras,Montinho das Laranjeiras,Carro,0.5,,NO,2,2
Lombardos,Roncão de Cima,Carro,2.3,,SE,2,3
Loulé,São Brás de Alportel,Carro,13.2,,NE,2,4
Loulé,Santuário de Nossa Senhora da Piedade,Carro,1.7,,O,3,1
Loulé,Mina de Sal-Gema de Loulé,Carro,1.6,,SE,4,1
Loulé,Querença,Carro,10.3,,NE,6,1
Livramento,Luz de Tavira,Carro,3.2,N125,NE,1,3
"Luz, Lagos",N125 - Acesso à Saída 1 da A22,Carro,4.2,,NE,2,5
Luz de Tavira,Moncarapacho,Carro,7.9,,O,4,2
Luz de Tavira,Santo Estêvão,Carro,4.2,,N,5,4
Luzianes,São Martinho das Amoreiras,Carro,12.4,N123,NE,3,1
M-50 - Saída 53,M-50 - Saída 55,Carro,2.1,M-50,NO,1,2
M-50 - Saída 53,Cruzamento da A-42 com a M-50,Carro,2.2,M-50,SE,2,1
M-50 - Saída 55,M-50 - Saída 56,Carro,1.3,M-50,NO,1,2
M-50 - Saída 56,M-50 - Saída 58,Carro,1.7,M-50,NO,1,2
M-50 - Saída 56,R-5 - Saída 9,Carro,3.1,,NO,4,5
M-50 - Saída 56,R-5 - Saída 11,Carro,5.1,,SO,3,5
M-50 - Saída 58,M-50 - Saída 59,Carro,0.8,M-50,NO,1,2
M-50 - Saída 58,R-5 - Saída 9,Carro,1.5,,N,4,4
M-50 - Saída 58,R-5 - Saída 11,Carro,2.6,,SO,3,4
M-50 - Saída 59,M-50 - Saída 60,Carro,1.2,M-50,NO,1,2
M-50 - Saída 60,M-50 - Saída 62,Carro,1.6,M-50,NO,1,2
M-50 - Saída 60,R-5 - Saída 9,Carro,2.3,,NE,4,3
M-50 - Saída 60,R-5 - Saída 11,Carro,3.5,,S,3,3
M-50 - Saída 62,M-50 - Saída 63,Carro,1.8,M-50,NO,1,2
M-50 - Saída 63,M-50 - Saída 64,Carro,0.4,M-50,N,1,2
M-50 - Saída 64,M-50 - Saída 65,Carro,1.4,M-50,N,1,2
M-50 - Saída 65,M-50 - Saída 69,Carro,3.3,M-50,NO,1,2
M-50 - Saída 69,M-50 - Saída 72,Carro,3.5,M-50,N,1,2
M-50 - Saída 79,M-50 - Saída 80,Carro,1.0,M-50,N,1,2
M-50 - Saída 80,M-50 - Saída 82,Carro,2.2,M-50,N,1,2
M-50 - Saída 82,M-50 - Saída 83,Carro,0.9,M-50,N,1,2
Manta Rota,Vila Nova de Cacela,Carro,2.3,,NO,1,2
Mar Shopping Algarve,Santa Bárbara de Nexe,Carro,4.4,,NE,3,3
Marchena,Osuna,Comboio,31.0,Linha Utrera-Fuente de Piedra - Media Distancia,SE,7,7
Marchena,Paradas,Carro,8.4,,SO,3,2
Marina de Albufeira,Marina de Portimão,Barco,28.6,Costa de Portugal Continental,NO,4,4
Marina de Albufeira,Praia da Galé,Carro,5.6,,O,3,1
Marina de Albufeira,Vilamoura,Barco,15.2,Costa de Portugal Continental,E,5,3
Marina de Lagos,Sagres,Barco,30.9,Costa de Portugal Continental,SO,2,6
Marina de Portimão,Porto Comercial de Portimão,Carro,2.1,,N,1,2
Marina de Portimão,Praia da Rocha,Carro,1.3,,SO,2,1
Marismas de Isla Cristina,Punta del Moral,Carro,2.5,,SE,1,2
Martim Longo,Vaqueiros,Carro,7.7,,SE,1,2
Meia Praia,Mexilhoeira Grande,Comboio,5.4,Linha do Algarve - Regional,NE,2,4
Mértola,Monte Alto,Carro,6.0,,SE,2,1
Mértola,Penha da Águia,Barco,10.2,Rio Guadiana,SE,4,2
Mesquita,Sedas,Carro,7.1,,O,1,3
Mexilhoeira da Carregação,N125 - Acesso a Estômbar e Ferragudo,Carro,1.8,,NE,1,2
Mexilhoeira da Carregação,Parchal,Carro,1.6,,SO,3,1
Mexilhoeira da Carregação,Portimão - Centro histórico,Barco,2.8,Rio Arade,O,4,6
Mexilhoeira da Carregação,Silves,Barco,8.9,Rio Arade,NE,5,5
Mexilhoeira Grande,N125 - Acesso à Saída 3 da A22,Carro,2.1,N125,O,2,1
Mina de São Domingos,Montes Altos,Carro,3.4,,S,4,2
Mina de São Domingos,Moreanes,Carro,6.8,,SO,1,2
Mina de São Domingos,Sapos,Carro,5.7,,SO,3,3
Mina de São Domingos,Vale do Poço,Carro,11.4,,N,2,1
Moinhos de Vento de Baixo,Moinhos de Vento de Cima,Carro,0.8,,SO,2,1
Moinhos de Vento de Cima,São Bartolomeu de Via Glória,Carro,3.2,,SO,3,1
Moncarapacho,Quelfes,Carro,4.7,,SO,4,2
Moncarapacho,Santo Estêvão,Carro,9.5,,NE,6,3
Monchique,Picota,Carro,4.1,,SE,2,1
Monte Alto,Monte Costa,Carro,6.2,,NE,3,1
Monte Alto,Monte Fernandes,Carro,0.9,,SE,2,1
Monte Costa,Moreanes,Carro,1.0,,NE,2,1
Monte Fernandes,Tamejoso,Carro,2.1,,SE,2,1
Monte Francisco,Vista Real,Carro,2.0,,SO,3,1
Montenegro,Universidade do Algarve - Campus de Gambelas,Carro,2.1,,NO,2,1
Montenegro,Variante de Faro - Nó com o IC4,Carro,1.3,N125-10,NE,3,1
Montes Altos,Santana de Cambas,Carro,4.8,,SO,1,4
Montinho de Odeleite,Vale do Pereiro,Carro,2.2,,N,2,3
Moreanes,Santana de Cambas,Carro,4.4,,SE,3,2
Moreanes,Sapos,Carro,4.2,,E,4,2
Moura,Pias,Carro,15.3,,S,1,3
Moura,Póvoa de São Miguel,Carro,16.3,,NE,4,1
Moura,Safara,Carro,21.5,,SE,3,4
Moura,Sobral da Adiça,Carro,24.5,,SE,2,4
Moura,Vidigueira,Carro,35.5,,NO,6,3
Murteira de Baixo,Murteira de Cima,Carro,0.4,,NO,1,2
Murteira de Cima,Portela Alta de Cima,Carro,2.0,,NO,1,4
Murteira de Cima,Sentinela,Carro,1.9,,S,3,4
N125 - Acesso à Saída 2 da A22,Odiáxere,Carro,1.3,N125,NE,1,3
N125 - Acesso à Saída 3 da A22,Odiáxere,Carro,2.5,N125,SO,3,1
Odeceixe,Praia de Odeceixe,Carro,3.5,,NO,2,1
Odeceixe,Rogil,Carro,8.9,N120,SO,1,2
Odeceixe,São Teotónio,Carro,12.8,N120,NE,3,1
Odemira,São Luís,Carro,17.2,N120,N,3,1
Odemira,São Teotónio,Carro,13.9,N120,SO,2,4
Odemira,Vila Nova de Milfontes,Barco,30.8,Rio Mira,NO,5,8
Odemira,Vila Nova de Milfontes,Carro,27.2,,NO,1,2
"Odivelas, Ferreira do Alentejo",Torrão,Carro,16.8,N2,NO,2,1
"Odivelas, Ferreira do Alentejo",Vila Nova da Baronia,Carro,19.2,,NE,4,4
Olhão,Variante de Faro - Nó com a M518,Carro,6.9,N125,O,2,2
Olhão,Quelfes,Carro,4.7,,NE,3,1
Olhão,Pechão,Carro,4.9,N2-6,NO,4,1
Olhos de Água,Praia da Falésia,Carro,3.9,,SE,2,1
Olhos de Água,Praia de Santa Eulália,Carro,2.8,,SO,3,1
Oliva de la Frontera,Valencia del Mombuey,Carro,20.4,,SO,2,1
Osuna,Pedrera,Comboio,23.7,Linha Utrera-Fuente de Piedra - Media Distancia,E,8,3
Ourique,Santana da Serra,Carro,20.3,IC1,SO,1,3
Ourique,São Martinho das Amoreiras,Carro,23.6,N123,O,2,2
Paderne,Tunes,Carro,6.2,,SO,7,1
Parchal,Porto de Pesca de Portimão,Carro,1.0,,O,4,1
Parque Mineiro Cova dos Mouros,Vaqueiros,Carro,4.3,,SO,1,5
Paymogo,Puebla de Guzmán,Carro,18.0,,SE,2,3
Paymogo,Santa Bárbara de Casa,Carro,15.5,,NE,3,1
Pechão,Quelfes,Carro,5.1,,E,2,3
Pedras de El-Rei,Santa Luzia,Carro,2.3,,NE,2,2
Penha da Águia,Roncanito,Carro,3.3,,SO,1,1
"Pêra, Silves",Praia da Galé,Carro,6.8,,SE,2,4
"Pêra, Silves",Zoomarine,Carro,2.9,N125,NE,1,2
Pereiro,Tacões,Carro,4.4,N124,SE,2,1
Pereiro,"Vicentes, Alcoutim",Carro,1.8,,NE,4,1
Pereiro,Serro da Vinha de Cima,Carro,2.7,,NO,5,2
Pias,Serpa,Carro,15.7,,SO,1,4
Pias,Vila Nova de São Bento,Carro,13.9,,SE,2,4
Picoitos,Salgueiros,Carro,2.0,,E,2,1
Poço Barreto,Porches,Carro,5.8,,S,3,4
Poço Barreto,Silves,Carro,7.1,,NE,4,2
Pomarão,Ponte Internacional do Baixo Guadiana,Carro,0.2,,SE,1,2
Pomarão,Salgueiros,Carro,4.6,,N,2,2
Pomarão,Salgueiros,Comboio,7.3,Antiga Linha São Domingos - Pomarão,NO,6,4
Pomarão,Puerto de la Laja,Barco,5.5,Rio Guadiana,S,5,3
Ponta da Piedade,Praia Dona Ana,Carro,1.4,,N,1,2
Ponta de Sagres,Sagres,Carro,1.4,,NE,1,3
Ponte do Centenário,SE-30 - Saída 12,Carro,1.5,SE-30,NO,1,2
Ponte de Alamillo,Ronda Urbana Norte de Sevilha - Glorieta Olímpica,Carro,0.2,SE-30,E,1,2
Ponte de Alamillo,SE-30 - Saída 21,Carro,0.2,SE-30,O,2,1
Ponte Internacional do Baixo Guadiana,Puerto de la Laja,Carro,6.0,,SE,1,2
Porches,Praia da Marinha,Carro,6.1,,SO,5,1
Porches,Praia da Nossa Senhora da Rocha,Carro,4.5,,SE,3,3
Portela Alta de Baixo,Portela Alta de Cima,Carro,0.6,,NO,1,3
Portela Alta de Cima,Quebradas,Carro,1.2,,O,2,1
Portimão - Avenida São Lourenço da Barrosa,Portimão - Centro histórico,Carro,1.5,,NE,1,3
Portimão - Avenida São Lourenço da Barrosa,Portimão - Zona ribeirinha,Carro,1.1,,E,2,3
Portimão - Avenida São Lourenço da Barrosa,Praia da Rocha,Carro,2.4,,SE,3,2
Portimão - Avenida São Lourenço da Barrosa,Praia do Vau,Carro,2.5,,SO,6,1
Portimão - Centro histórico,Porto de Pesca de Portimão,Carro,1.1,,SE,1,2
Portimão - Centro histórico,Portimão - Zona ribeirinha,Barco,0.4,Rio Arade,SE,5,5
Portimão - Centro histórico,Portimão - Zona ribeirinha,Carro,0.9,,SE,2,1
Portimão - Centro histórico,Universidade do Algarve - Campus de Portimão,Carro,1.2,,N,4,1
Portimão - Zona ribeirinha,Porto Comercial de Portimão,Carro,2.2,,SE,2,1
Portimão - Zona ribeirinha,Porto de Pesca de Portimão,Barco,0.9,Rio Arade,E,4,4
Porto Comercial de Portimão,Porto de Pesca de Portimão,Barco,0.9,Rio Arade,N,4,3
Porto Covo,Praia de São Torpes,Carro,8.7,,N,2,1
Porto Covo,Vila Nova de Milfontes,Barco,17.3,Costa de Portugal Continental,S,4,6
Porto Covo,Vila Nova de Milfontes,Carro,20.2,,S,3,5
Praia da Arrifana,Ribat da Arrifana,Carro,6.3,,NO,2,2
Praia da Boca do Rio,Salema,Carro,2.3,,O,3,1
Praia da Cacela Velha,Praia de Cabanas de Tavira,Barco,4.7,Ria Formosa,NE,2,1
Praia da Cacela Velha,Sítio da Fábrica,Barco,1.0,Ria Formosa,O,1,2
Praia da Cordoama,Praia do Castelejo,Carro,2.9,,SO,2,2
Praia da Cordoama,Vila do Bispo,Carro,4.7,,SE,1,4
Praia da Cova Redonda,Praia da Nossa Senhora da Rocha,Carro,0.9,,SO,2,1
Praia da Galé,Praia dos Salgados,Carro,3.1,,NO,2,1
Praia da Ilha de Tavira,Praia de Cabanas de Tavira,Barco,4.0,Ria Formosa,SO,1,2
Praia da Ilha de Tavira,Praia do Barril,Barco,5.8,Ria Formosa,NE,2,1
Praia da Ilha de Tavira,Quatro Águas,Barco,0.7,Ria Formosa,NO,3,2
Praia da Marinha,Praia de Benagil,Carro,2.6,,SO,2,1
Praia da Nossa Senhora da Rocha,Praia Nova,Carro,0.5,,SO,2,1
Praia da Rocha,Praia do Vau,Carro,2.6,,O,3,2
Praia de Benagil,Praia do Carvalho,Carro,3.9,,O,2,1
Praia de Isla Canela,Punta del Moral,Carro,4.3,,NE,2,1
Praia de Monte Clérigo,Ribat da Arrifana,Carro,5.2,,SO,1,3
Praia do Carvalho,Praia do Vale de Centeanes,Carro,2.3,,NO,2,1
Praia do Castelejo,Vila do Bispo,Carro,4.0,,SE,1,3
Praia do Martinhal,Sagres,Carro,2.3,,SO,1,2
Puebla de Guzmán,Villanueva de los Castillejos,Carro,15.0,,S,2,4
Puerto de la Laja,Sanlúcar de Guadiana,Barco,7.0,Rio Guadiana,S,4,3
Punta del Moral,Vila Real de Santo António,Barco,11.8,Costa Atlântica de Espanha Continental,O,3,6
Quarteira,Vale do Lobo,Carro,7.2,,SE,2,3
Quarteira,Vilamoura,Barco,3.1,Costa de Portugal Continental,NO,4,4
Quarteira,Vilamoura,Carro,3.2,,NO,3,1
Quatro Águas,Tavira - Sul,Carro,2.9,,NO,1,2
Quatro Águas,Santa Luzia,Barco,3.4,Ria Formosa,SO,3,3
Quatro Águas,Tavira - Norte,Barco,2.4,Rio Gilão,NO,6,4
Quatro Águas,Vila Real de Santo António,Barco,26.9,Costa de Portugal Continental,NO,5,5
Quebradas,Sentinela,Carro,2.5,,SE,2,2
Querença,São Brás de Alportel,Carro,16.3,,SE,2,5
Quinta do Lago,Vale do Lobo,Carro,5.8,,O,2,2
R-4 - Saída 1,R-4 - Saída 4,Carro,2.5,R-4,S,2,1
R-4 - Saída 4,R-4 - Saída 12,Carro,8.2,R-4,SE,2,1
R-4 - Saída 22,R-4 - Saída 29,Carro,7.1,R-4,S,2,1
R-4 - Saída 29,R-4 - Saída 32,Carro,2.8,R-4,SE,2,1
R-4 - Saída 32,R-4 - Saída 38,Carro,5.9,R-4,SE,2,1
R-5 - Saída 9,R-5 - Saída 11,Carro,3.5,R-5,SO,1,2
R-5 - Saída 20,R-5 - Saída 28,Carro,8.5,R-5,O,1,2
Raposeira,Vila do Bispo,Carro,1.9,N125,O,2,2
Ribeira do Vascão,Santa Marta,Carro,3.6,N122,S,1,2
Ribeira do Vascão,Sedas,Carro,2.7,N122,NO,2,2
Rocha da Pena,Salir,Carro,5.4,N124,SE,2,4
Roncanito,Roncão de Baixo,Carro,1.3,,SE,3,1
Roncão de Cima,Roncão do Meio,Carro,1.2,,SE,4,1
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares,Ronda Urbana Norte de Sevilha - Glorieta Berrocal,Carro,0.4,Ronda Urbana Norte de Sevilha,NE,2,1
Ronda Urbana Norte de Sevilha - Glorieta Berrocal,Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro,Carro,0.9,Ronda Urbana Norte de Sevilha,SO,2,1
Ronda Urbana Norte de Sevilha - Glorieta Olímpica,Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro,Carro,0.5,Ronda Urbana Norte de Sevilha,E,1,2
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares,Ronda Urbana Norte de Sevilha - Pino Montano,Carro,0.4,Ronda Urbana Norte de Sevilha,NE,1,2
Ronda Urbana Norte de Sevilha - Pino Montano,Ronda Urbana Norte de Sevilha - Poligono Store,Carro,0.9,Ronda Urbana Norte de Sevilha,SE,1,2
Ronda Urbana Norte de Sevilha - Poligono Calonge,Ronda Urbana Norte de Sevilha - Poligono Store,Carro,0.6,Ronda Urbana Norte de Sevilha,NO,2,1
Rosal de la Frontera,Santa Bárbara de Casa,Carro,23.3,,S,1,2
Rosal de la Frontera,Sobral da Adiça,Carro,9.3,,NO,4,1
Rosal de la Frontera,Vila Verde de Ficalho,Carro,7.9,IP8,SO,2,2
Ruínas Romanas de Milreu,Santa Bárbara de Nexe,Carro,6.3,,O,3,1
Ruínas Romanas de Milreu,São Brás de Alportel,Carro,8.1,N2,N,4,1
Safara,Santo Aleixo da Restauração,Carro,8.2,,SE,2,1
Safara,Sobral da Adiça,Carro,11.4,,SO,1,3
Sagres,Vila do Bispo,Carro,9.4,,NE,1,5
Sagres,Vila Nova de Milfontes,Barco,95.8,Costa de Portugal Continental,N,5,7
Salgueiros,Santana de Cambas,Comboio,3.7,Antiga Linha São Domingos - Pomarão,N,5,5
San Bartolomé de la Torre,Villanueva de los Castillejos,Carro,16.8,,NO,1,3
San Bartolomé de la Torre,Tariquejo,Carro,10.1,,SO,2,2
San Silvestre de Guzmán,Sanlúcar de Guadiana,Carro,17.6,,NO,1,2
San Silvestre de Guzmán,Villanueva de los Castillejos,Carro,14.6,,NE,2,2
San Silvestre de Guzmán,Villablanca,Carro,9.6,,S,3,1
Santa Catarina da Fonte do Bispo,Santo Estêvão,Carro,9.1,,SE,4,2
Santa Catarina da Fonte do Bispo,São Brás de Alportel,Carro,9.1,,O,1,3
Santa Luzia,Tavira - Sul,Carro,2.7,,N,1,5
Santana da Serra,São Marcos da Serra,Carro,21.3,IC1,SO,1,3
Santana da Serra,São Martinho das Amoreiras,Carro,23.7,,NO,4,3
Santana de Cambas,Sapos,Carro,3.4,,N,3,1
São Bartolomeu de Messines,Silves,Carro,17.1,N124,SO,3,3
São Luís,Vila Nova de Milfontes,Carro,14.3,,O,2,3
São Teotónio,Zambujeira do Mar,Carro,8.3,,NO,3,1
SE-20 - Estádio de La Cartuja,SE-20 - Parque de Alamillo,Carro,1.1,SE-20,NE,2,1
SE-20 - Miraflores,SE-20 - Pino Montano,Carro,1.0,SE-20,NO,1,2
SE-20 - Parque de Alamillo,SE-20 - San Jerónimo,Carro,0.9,SE-20,NE,2,1
SE-20 - Parque de Alamillo,Sevilha - Parque de Alamillo,Carro,1.0,,S,3,1
SE-30 - Saída 3,SE-30 - Saída 4,Carro,0.6,SE-30,S,1,2
SE-30 - Saída 4,SE-30 - Saída 5,Carro,1.1,SE-30,S,1,2
SE-30 - Saída 12,SE-30 - Saída 14,Carro,1.7,SE-30,NO,1,2
SE-30 - Saída 14,SE-30 - Saída 15,Carro,1.3,SE-30,O,1,2
SE-30 - Saída 21,Sevilha - Parque de Alamillo,Carro,0.8,,N,3,2
SE-40 - Reinício,SE-40 - Saída 35,Carro,6.9,SE-40,O,1,2
Sedas,"Vicentes, Mértola",Carro,3.0,,NO,4,1
Sedas,Zambujal,Carro,1.3,,SO,5,1
Serpa,Vila Nova de São Bento,Carro,18.1,IP8,E,3,1
Serro da Vinha de Baixo,Serro da Vinha de Cima,Carro,0.8,,SE,3,1
Sobral da Adiça,Vila Verde de Ficalho,Carro,12.7,,SO,2,3
Sul do Sapal de Castro Marim e Vila Real de Santo António,Vila Real de Santo António,Carro,1.8,N122,SE,2,1
Talavera la Real,Villafranco del Guadiana,Carro,8.4,N-5,O,2,3
Tavira - Norte,Tavira - Sul,Carro,1.5,N125,SO,3,1
Torrão,Vila Nova da Baronia,Carro,16.8,,E,3,5
Universidade do Algarve - Campus de Gambelas,Variante de Faro - Nó com o IC4,Carro,2.1,,SE,2,5
Universidade do Algarve - Campus da Penha,Variante de Faro - Nó com a M518,Carro,2.4,,NE,3,5
Urbanização Mirador de Cerro Gordo,Villafranco del Guadiana,Carro,4.0,N-5,E,2,1
Variante de Faro - Nó com a N2,Variante de Faro - Nó com o IC4,Carro,2.0,Variante de Faro,E,1,2
Variante de Faro - Nó com a M518,Variante de Faro - Nó com a N2,Carro,1.9,Variante de Faro,NO,1,2
Vidigueira,Villa Romana de São Cucufate,Carro,5.1,,NO,4,1
